City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,Aland,17.5667,76.5667,80.55,68,99,9.57,IN,1691688944
80,Codrington,-38.2667,141.9667,48.83,86,100,8.12,AU,1691688944
81,Vernon,50.2581,-119.2691,73.29,53,68,3.44,CA,1691688944
82,Natal,-5.795,-35.2094,84.42,61,40,19.57,BR,1691688778
83,Kudat,6.8837,116.8477,82.33,83,20,5.75,MY,1691688945
84,Santa Helena de Goiás,-17.8136,-50.5969,93.96,18,0,8.41,BR,1691688729
85,Khāsh,28.2211,61.2158,83.77,15,11,9.19,IR,1691688945
86,New Plymouth,-39.0667,174.0833,40.8,73,8,6.4,NZ,1691688945
87,Pointe-Noire,-4.7761,11.8635,71.73,88,26,12.35,CG,1691688945
88,Port Elizabeth,-33.918,25.5701,65.1,88,0,1.14,ZA,1691688945
89,Queenstown,-31.8976,26.8753,57.76,38,0,5.79,ZA,1691688945
90,Tura,25.5198,90.2201,74.95,98,98,4.79,IN,1691688945
91,Tangalle,6.024,80.7911,78.31,89,89,9.66,LK,1691688945
92,Jamestown,42.097,-79.2353,75.02,67,75,10.36,US,1691688767
93,Tôlanaro,-25.0319,46.9987,64.47,94,75,2.3,MG,1691688945
94,Edinburgh of the Seven Seas,-37.0676,-12.3116,53.13,61,26,24.29,SH,1691688946
95,Saipan,15.1355,145.701,79.5,100,0,8.05,MP,1691688946
96,Iqaluit,63.7506,-68.5145,44.33,87,40,6.91,CA,1691688946
97,La Sarre,48.8002,-79.1996,67.03,67,71,7.45,CA,1691688946
98,Papatowai,-46.5619,169.4708,36.16,86,100,5.82,NZ,1691688946
99,Prince George,53.9166,-122.753,67.24,56,75,11.5,CA,1691688735
100,Genhe,50.7833,121.5167,55.02,96,42,2.57,CN,1691688946
101,Borkum,53.5809,6.6915,65.95,76,51,3.49,DE,1691688946
102,Arraial do Cabo,-22.9661,-42.0278,78.76,73,0,19.57,BR,1691688946
103,Westport,41.1415,-73.3579,80.42,83,100,4.61,US,1691688860
104,Hadibu,12.65,54.0333,78.26,80,32,14.97,YE,1691688946
105,Petropavlovsk-Kamchatskiy,53.0452,158.6483,46.99,100,40,8.95,RU,1691688947
106,Capinzal,-27.3436,-51.6119,75.43,70,67,3.15,BR,1691688947
107,Caraballeda,10.6112,-66.8522,86.07,70,86,9.22,VE,1691688947
108,Loango,-4.6719,11.8312,71.49,88,37,11.74,CG,1691688947
109,Buurhakaba,2.8026,44.0781,75.65,68,88,18.5,SO,1691688947
110,Crystal City,28.6775,-99.8281,96.91,41,0,10.42,US,1691688947
111,Lerwick,60.1545,-1.1494,59.0,81,32,6.49,GB,1691688947
112,Bo`ka,40.8108,69.1986,81.1,25,0,4.32,UZ,1691688947
113,Isangel,-19.55,169.2667,66.43,57,26,18.39,VU,1691688947
114,Altamont,42.2068,-121.7372,72.39,51,0,1.99,US,1691688815
115,Qaqortoq,60.7167,-46.0333,47.01,69,26,5.79,GL,1691688947
116,Tsiombe,-25.3,45.4833,62.13,69,76,7.54,MG,1691688948
117,Ridgecrest,35.6225,-117.6709,85.68,27,75,1.99,US,1691688948
118,Plastun,44.7561,136.2939,61.7,97,100,5.23,RU,1691688948
119,Lihue,21.9789,-159.3672,80.19,77,75,16.11,US,1691688948
120,Bengkulu,-3.8004,102.2655,74.8,90,34,4.05,ID,1691688948
121,Udachny,66.4167,112.4,62.46,82,98,4.92,RU,1691688948
122,Ciechocinek,52.8791,18.7951,66.67,92,93,4.05,PL,1691688835
123,Lundazi,-12.2929,33.1782,62.13,53,30,7.61,ZM,1691688948
124,Yuzhno-Kurilsk,44.0306,145.8556,67.68,97,100,13.58,RU,1691688948
125,Carnarvon,-24.8667,113.6333,66.16,85,3,4.03,AU,1691688948
126,Tamanghasset,22.785,5.5228,94.91,10,0,3.44,DZ,1691688948
127,Keflavik,64.0049,-22.5624,64.31,72,75,11.5,IS,1691688949
128,Enewetak,11.3474,162.3373,82.74,78,45,10.8,MH,1691688949
129,Bezerros,-8.2333,-35.7969,78.64,48,1,12.53,BR,1691688949
130,Saint-Pierre,-21.3393,55.4781,69.48,73,100,5.75,RE,1691688949
131,Borger,52.9233,6.7931,69.8,78,97,1.86,NL,1691688949
132,Fada,9.5667,8.3,68.45,97,100,1.66,NG,1691688949
133,San Julián,21.0167,-102.1667,75.47,45,93,2.53,MX,1691688949
134,Iskateley,67.6803,53.1512,53.46,76,4,8.1,RU,1691688949
135,Kiruna,67.8557,20.2251,56.32,88,0,5.75,SE,1691688949
136,Wailua Homesteads,22.0669,-159.378,79.59,83,75,16.11,US,1691688949
137,Porkhov,57.765,29.5561,61.74,74,80,4.0,RU,1691688950
138,Tuzantla,19.2029,-100.5668,83.79,73,93,3.24,MX,1691688950
139,Lompoc,34.6391,-120.4579,73.78,78,100,11.01,US,1691688737
140,Fort Bragg,35.139,-79.006,83.19,89,75,10.36,US,1691688950
141,Polyarny,69.1989,33.4478,68.61,63,0,10.31,RU,1691688950
142,Yellowknife,62.456,-114.3525,66.72,55,75,8.05,CA,1691688950
143,Kayangel,8.0823,134.7173,81.77,83,94,20.27,PW,1691688950
144,Tamborine Mountain,-27.9695,153.1994,52.88,92,0,3.71,AU,1691688950
145,Dolores,-36.3132,-57.6792,66.36,64,100,8.59,AR,1691688950
146,Tianshui,34.5439,105.6897,70.79,86,39,3.91,CN,1691688951
147,Klyuchi,52.2667,79.1667,65.16,84,92,6.13,RU,1691688951
148,Hermanus,-34.4187,19.2345,60.78,62,0,1.16,ZA,1691688951
149,Geiro,-6.15,36.8667,60.94,68,70,4.27,TZ,1691688951
150,Magadan,59.5667,150.8,50.72,83,22,5.57,RU,1691688951
151,Newman,37.3138,-121.0208,83.23,21,0,0.43,US,1691688951
152,Neftçala,39.3742,49.2472,83.12,64,0,9.66,AZ,1691688951
153,Susuman,62.7833,148.1667,44.69,74,2,2.35,RU,1691688951
154,Lebu,-37.6167,-73.65,51.46,85,14,13.82,CL,1691688701
155,Tazovsky,67.4667,78.7,49.01,66,2,20.94,RU,1691688951
