City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Pacific Grove,36.6177,-121.9166,300.73,82,0,5.66,US,1691439401
81,Benguela,-12.5763,13.4055,293.35,83,81,1.43,AO,1691439401
82,Port Macquarie,-31.4333,152.9167,283.09,84,28,3.46,AU,1691439259
83,Laguna,38.421,-121.4238,312.47,31,0,2.57,US,1691439401
84,George Town,5.4112,100.3354,301.11,83,20,0.0,MY,1691439169
85,Tazacorte,28.629,-17.9293,297.69,79,75,1.03,ES,1691439402
86,Bhongīr,17.5108,78.8889,298.42,74,100,3.42,IN,1691439402
87,Sankt Veit an der Glan,46.7681,14.3603,289.88,48,20,1.03,AT,1691439402
88,San Luis de la Loma,17.2706,-100.8939,304.81,66,7,3.88,MX,1691439402
89,Sinabang,2.4803,96.3801,298.07,92,100,2.55,ID,1691439402
90,Grand Falls-Windsor,48.9332,-55.6649,289.54,81,88,3.13,CA,1691439402
91,San Julián,21.0167,-102.1667,299.38,42,2,1.78,MX,1691439402
92,Santa Cruz de la Sierra,-17.8,-63.1667,306.18,33,40,4.63,BO,1691439402
93,Çubuk,40.2386,33.0322,300.24,44,0,2.57,TR,1691439402
94,Hamilton,39.1834,-84.5333,300.37,78,100,8.75,US,1691439171
95,Richards Bay,-28.783,32.0377,290.58,93,2,1.89,ZA,1691439403
96,Kumul,42.8,93.45,306.6,13,96,3.92,CN,1691439403
97,Rauma,61.1272,21.5113,300.17,59,0,7.5,FI,1691439403
98,Port Elizabeth,-33.918,25.5701,288.31,94,0,2.57,ZA,1691439403
99,Rémire-Montjoly,4.9167,-52.2667,303.17,74,13,6.69,GF,1691439403
100,Pandan,14.0453,124.1694,300.65,83,12,4.36,PH,1691439403
101,Kingston,17.997,-76.7936,306.68,67,75,10.8,JM,1691439403
102,Ungsang-nodongjagu,42.3578,130.4622,290.88,93,100,3.08,KP,1691439403
103,Dakhla,23.6848,-15.958,296.16,78,0,4.63,EH,1691439403
104,Vorgashor,67.5833,63.95,285.38,97,13,4.51,RU,1691439403
105,Coquimbo,-29.9533,-71.3436,289.0,77,100,3.6,CL,1691439360
106,Lihue,21.9789,-159.3672,301.92,77,100,5.14,US,1691439234
107,Novosergiyevka,52.0934,53.6528,293.63,64,10,2.93,RU,1691439404
108,Gaspé,48.8334,-64.4819,294.27,52,20,2.57,CA,1691439183
109,Yellowknife,62.456,-114.3525,291.44,45,75,5.14,CA,1691439404
110,Klyuchi,52.2667,79.1667,290.49,47,0,1.02,RU,1691439404
111,Khalkhāl,37.6189,48.5258,292.78,59,62,2.42,IR,1691439404
112,Longonjo,-12.9067,15.2533,291.86,27,0,1.65,AO,1691439404
113,Whitehorse,60.7161,-135.0538,295.38,45,75,4.12,CA,1691439404
114,Bria,6.5423,21.9863,293.16,98,77,1.62,CF,1691439404
115,Porto-Novo,6.4965,2.6036,297.82,86,36,3.47,BJ,1691439404
116,Avon,41.4517,-82.0354,295.98,88,100,4.12,US,1691439404
117,Cologne,50.9333,6.95,289.51,75,40,2.57,DE,1691439245
118,Macapá,0.0389,-51.0664,305.14,66,20,6.17,BR,1691439331
119,Novodvinsk,64.4165,40.8122,286.29,82,5,2.52,RU,1691439405
120,Albany,42.6001,-73.9662,296.38,90,100,3.13,US,1691439234
121,Longyearbyen,78.2186,15.6401,282.06,87,75,2.57,SJ,1691439405
122,Mineros,-17.1167,-63.2333,308.88,26,24,1.11,BO,1691439405
123,Puerto Baquerizo Moreno,-0.9,-89.6,300.7,65,75,6.17,EC,1691439405
124,Canutama,-6.5339,-64.3831,311.83,25,90,1.88,BR,1691439405
125,Bada,51.392,109.8717,283.12,95,19,1.2,RU,1691439405
126,Sitka,57.0531,-135.33,291.09,68,75,4.63,US,1691439405
127,Punta Arenas,-53.15,-70.9167,276.18,81,100,3.2,CL,1691439224
128,Avarua,-21.2078,-159.775,297.18,69,81,1.03,CK,1691439406
129,Pisco,-13.7,-76.2167,295.18,68,75,4.12,PE,1691439263
130,Newman,37.3138,-121.0208,310.96,11,0,2.43,US,1691439247
131,Rio Grande,-32.035,-52.0986,287.21,67,35,7.7,BR,1691439406
132,Khuzdar,27.7384,66.6434,302.11,29,5,4.02,PK,1691439406
133,Ancud,-41.8697,-73.8203,283.81,71,100,1.48,CL,1691439406
134,Alo,7.4178,6.7371,296.85,95,100,1.49,NG,1691439406
135,Conde,-7.2597,-34.9075,298.85,78,40,7.2,BR,1691439296
136,Bredasdorp,-34.5322,20.0403,283.62,84,0,2.05,ZA,1691439406
137,Alofi,-19.0595,-169.9187,297.09,94,78,4.12,NU,1691439406
138,Isafjordur,66.0755,-23.124,285.7,61,36,1.2,IS,1691439406
139,Tynda,55.1667,124.7167,288.9,65,100,0.4,RU,1691439406
140,Jamaame,0.0697,42.745,297.14,81,13,5.66,SO,1691439407
141,Gebeit,21.0667,36.3167,304.24,22,2,1.34,SD,1691439407
142,Formosa do Rio Preto,-11.0483,-45.1931,306.54,22,25,3.03,BR,1691439407
143,Dudinka,69.4058,86.1778,289.05,71,72,3.15,RU,1691439407
144,Bahía de Caráquez,-0.6,-80.4167,302.25,72,100,3.96,EC,1691439407
145,Kirensk,57.7853,108.1119,289.76,94,99,1.04,RU,1691439407
146,Saint-Pierre,-21.3393,55.4781,293.97,78,100,7.72,RE,1691439407
147,Loango,-4.6719,11.8312,294.6,88,95,2.99,CG,1691439407
148,Malango,-2.9627,119.9001,291.04,98,27,0.56,ID,1691439407
149,Saipan,15.1355,145.701,299.54,100,75,0.45,MP,1691439408
150,Talnakh,69.4865,88.3972,288.82,60,97,1.22,RU,1691439408
151,Gadzhiyevo,69.2551,33.3362,288.17,69,91,4.19,RU,1691439408
152,Hadibu,12.65,54.0333,298.93,80,46,8.36,YE,1691439408
153,Jamestown,42.097,-79.2353,295.12,94,100,5.66,US,1691439122
154,Sisimiut,66.9395,-53.6735,281.67,65,8,1.85,GL,1691439408
155,Auki,-8.7676,160.7034,297.43,90,100,1.82,SB,1691439408
156,Adi Keyh,14.8444,39.3772,289.32,72,10,2.05,ER,1691439408
157,Fort-Shevchenko,44.5086,50.263,302.15,54,0,3.13,KZ,1691439408
158,Vilyuchinsk,52.9306,158.4028,285.3,79,0,4.17,RU,1691439408
159,Sumberpucung,-8.1586,112.4829,293.68,91,72,1.27,ID,1691439408
160,Praia da Vitória,38.7333,-27.0667,296.9,94,40,3.04,PT,1691439409
161,Arteche,12.2645,125.4048,299.9,83,10,3.22,PH,1691439409
162,San Andrés,12.5847,-81.7006,305.16,70,40,6.17,CO,1691439409
163,Ligny-en-Barrois,48.6886,5.3254,290.45,78,100,2.1,FR,1691439409
164,Lüderitz,-26.6481,15.1594,289.61,69,0,6.34,NA,1691439409
165,Korsør,55.3299,11.1386,288.14,82,100,17.32,DK,1691439409
166,Afaahiti,-17.75,-149.2833,300.08,79,94,5.06,PF,1691439409
167,Badger,64.8,-147.5333,295.45,66,100,4.12,US,1691439410
168,Tôlanaro,-25.0319,46.9987,293.57,83,100,5.18,MG,1691439410
169,Chonchi,-42.6128,-73.8092,287.71,75,99,1.09,CL,1691439410
170,Marcala,14.15,-88.0333,298.86,61,100,2.53,HN,1691439410
171,Whakatane,-37.9585,176.9854,283.58,98,98,1.02,NZ,1691439410
172,Gisborne,-38.6533,178.0042,282.41,83,18,2.79,NZ,1691439410
173,Esim,4.8699,-2.2405,297.82,89,3,3.65,GH,1691439379
174,Villa del Totoral,-30.8167,-63.7167,291.5,17,0,5.16,AR,1691439410
175,Keminmaa,65.8596,24.8228,296.02,73,0,5.14,FI,1691439411
176,Hermantown,46.8069,-92.2383,301.13,39,20,5.66,US,1691439411
177,Lashio,22.9333,97.75,293.78,100,100,0.81,MM,1691439411
178,Walvis Bay,-22.9575,14.5053,291.12,51,0,5.81,NA,1691439411
179,Enewetak,11.3474,162.3373,299.34,88,100,6.6,MH,1691439411
180,Pangkalpinang,-2.1333,106.1333,298.66,89,53,3.56,ID,1691439411
181,São Francisco,-15.9486,-44.8644,303.92,21,3,0.86,BR,1691439411
182,Skovorodino,53.9833,123.9167,286.94,64,43,1.29,RU,1691439411
183,Tabas,33.5959,56.9244,307.27,20,0,2.06,IR,1691439411
184,Sergach,55.5308,45.4661,292.42,72,0,2.72,RU,1691439412
185,Port Lincoln,-34.7333,135.8667,283.35,77,0,3.78,AU,1691439412
186,Kendari,-3.945,122.4989,294.02,87,2,1.29,ID,1691439412
187,Pasni,25.2631,63.471,300.44,83,26,7.12,PK,1691439412
188,Esmeralda,21.8525,-78.1169,306.91,56,42,5.43,CU,1691439412
189,Alvarães,-3.2208,-64.8042,308.08,49,99,1.18,BR,1691439412
190,Gaoping,30.7758,106.1029,299.13,91,83,0.65,CN,1691439412
191,Aykhal,66.0,111.5,288.77,48,100,1.94,RU,1691439412
